"orig","dest","distance"
"U01577","U11746",4.81704903415435
"U01577","U06610",4.88467013465778
"U01577","U32116",5.00439997262515
"U01577","U38271",5.2986495488241
"U01577","U26715",5.32919948210955
"U01630","U53900",3.54208333162705
"U01630","U70230",4.33493239493622
"U01630","U21926",4.93248407346689
"U01630","U02275",4.96038637132025
"U01630","U23418",4.97718277917246
"U01630","U14006",4.98658407969885
"U01630","U16428",5.00019226953859
"U01630","U14045",5.04544489849632
"U01630","U57786",5.06378131306827
"U01630","U79408",5.10763892385327
"U01680","U62853",4.06661884202843
"U01680","U94460",4.21520802817077
"U01680","U88280",4.45373003303614
"U01680","U69072",4.5304792332853
"U01680","U36512",4.60140674295054
"U01680","U12200",4.67463291849073
"U01680","U53963",4.94650263735724
"U01680","U06437",5.02936043204282
"U01680","U69052",5.12610903527189
"U01680","U93827",5.19609754104549
"U01901","U05906",3.73536677792488
"U01901","U34632",4.20904741707984
"U01901","U79881",4.80389144591503
"U01901","U55161",4.90134159025749
"U01901","U57096",5.02154154052757
"U01901","U94037",5.16553022506883
"U01901","U98432",5.22949726905233
"U01901","U36134",5.32272461411041
"U01901","U43084",5.45352837506367
"U01901","U62853",5.4955382856792
"U01916","U67475",2.54880266849147
"U01916","U82404",4.01787271694652
"U01916","U90175",4.36663770781904
"U01916","U75382",4.39146728387338
"U01916","U18888",4.68451357449862
"U01916","U53317",4.6983183589972
"U01916","U65398",4.72321994165876
"U01916","U50107",4.90548294114104
"U01916","U34538",4.92331868851859
"U01916","U19152",5.01081272350111
"U01989","U77096",2.9427947973863
"U01989","U53962",3.80193941781987
"U01989","U07842",4.59224382015195
"U01989","U12365",5.07183894598371
"U01989","U23714",5.25970976967775
"U01989","U94460",5.32636924978293
"U01989","U95193",5.41879106899916
"U01989","U96127",5.43252813880988
"U01989","U89118",5.49515785116685
"U01989","U41930",5.50828896896314
"U02049","U42235",5.21851864072352
"U02049","U74266",5.69603712331776
"U02049","U86169",5.79111740933491
"U02049","U94184",6.01871622567199
"U02049","U17081",6.03632135053999
"U02049","U39739",6.04242684404418
"U02049","U87221",6.06000343266773
"U02049","U73010",6.09107080686161
"U02049","U84550",6.13017644123965
"U02049","U72748",6.1448382173679
